"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"ENSG00000215417.13",123.571269954855,1.57295234247359,0.205217360246355,7.66481130341666,1.79094310337275e-14,1.97418174485833e-12,1.57295234247359
"ENSG00000277157.2",61.1163866418082,1.52129054583535,0.256183492922667,5.93828481484002,2.88019366171882e-09,1.97005246461567e-07,1.52129054583535
"ENSG00000124575.7",196.596617538471,1.48905190184176,0.136368607930402,10.9193158487159,9.31951482216475e-28,2.14316704651782e-25,1.48905190184176
"ENSG00000225684.4",45.1620860310111,1.4715225479822,0.286576498994874,5.13483329283231,2.82394227325819e-07,1.38012644643943e-05,1.4715225479822
"ENSG00000282988.2",173.679181797989,1.40137549817063,0.155402228890922,9.01773100792695,1.92025147160503e-19,2.78394718785521e-17,1.40137549817063
"ENSG00000261026.1",53.2975227610912,1.39578410105068,0.280630334291986,4.97374635059377,6.56712254721134e-07,2.98949762917081e-05,1.39578410105068
"ENSG00000125148.7",22816.5769258248,1.38750316886752,0.0792672337194951,17.5041199719106,1.33270823327086e-68,9.87536800853709e-66,1.38750316886752
"ENSG00000124216.4",111.942146222432,1.25879264977864,0.191774455082906,6.5639224433434,5.24104686970085e-11,4.13639545254852e-09,1.25879264977864
"ENSG00000197837.3",262.958465778543,1.23828813135182,0.11376090799705,10.8850056944335,1.35890134267286e-27,2.97131575550339e-25,1.23828813135182
"ENSG00000260597.1",250.407506675772,1.23768329683484,0.134777613753453,9.18315187786982,4.1865425484215e-20,6.41840281733861e-18,1.23768329683484
"ENSG00000187678.10",140.579384363743,1.22183526520526,0.178436057604345,6.84746839629519,7.51682908214285e-12,6.510354954391e-10,1.22183526520526
"ENSG00000261324.2",568.195596640563,1.21038578714727,0.0826243805029546,14.6492570326018,1.36196832078301e-48,6.48783337950136e-46,1.21038578714727
"ENSG00000120129.6",1495.46702808199,1.20440175669692,0.0559148585478035,21.5399231613407,6.58159024837779e-103,6.75271159483561e-100,1.20440175669692
"ENSG00000139318.8",163.474061333285,1.1991207149465,0.183928706555463,6.51948647605427,7.05484996454589e-11,5.43916698422619e-09,1.1991207149465
"ENSG00000235027.1",115.16441865962,1.19521690582051,0.187771370484171,6.365277639177,1.94936794919958e-10,1.45255138024715e-08,1.19521690582051
"ENSG00000183153.7",78.8890350892566,1.17990923604157,0.227992185421292,5.17521788679421,2.27645161166464e-07,1.14147787956327e-05,1.17990923604157
