"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"ENSG00000169688.11",39.8685338370606,9.33921347233863,1.20330574288795,7.76129718281274,8.40650717613555e-15,2.06878331747832e-13,9.33921347233863
"ENSG00000173110.8",443.999342439653,8.21452448391549,0.424507119577518,19.3507343106303,2.00958622041525e-83,4.67510138317405e-81,8.21452448391549
"ENSG00000187193.9",14124.6131371011,6.23489809250595,0.0578395515782809,107.796445898574,0,0,6.23489809250595
"ENSG00000125144.14",234.019336334001,5.98675706136094,0.281361216657182,21.2778332866514,1.82168289588401e-100,5.3872412148109e-98,5.98675706136094
"ENSG00000198417.7",5557.56205302279,5.73680052788316,0.0638894917715999,89.7925522461783,0,0,5.73680052788316
"ENSG00000232803.1",117.384976698257,5.71469310103208,0.361529497541467,15.8069898580727,2.78457283073782e-56,3.68069899626617e-54,5.71469310103208
"ENSG00000233929.1",47.7486277905229,5.45539767125966,0.557969699611801,9.77722925645456,1.4101810880729e-22,6.19668473405763e-21,5.45539767125966
"ENSG00000180720.7",21.0536059855921,5.11833132952988,0.726770356139307,7.04257030614056,1.88725551958124e-12,3.75043670907215e-11,5.11833132952988
"ENSG00000141622.14",521.183352095048,4.99574162705099,0.146103853954433,34.1930858895008,3.06348815071861e-256,2.22715588557243e-253,4.99574162705099
"ENSG00000170385.10",20809.3340173101,4.97124254214139,0.0379523674064879,130.986362165422,0,0,4.97124254214139
"ENSG00000232445.2",59.5445645532616,4.9155731745619,0.412014371060844,11.9305866975111,8.19935638927251e-33,5.79199879676222e-31,4.9155731745619
"ENSG00000100292.18",1872.79463373152,4.61878243006604,0.169198357118268,27.2980335550041,4.47583875003404e-164,1.95236086276485e-161,4.61878243006604
"ENSG00000102891.4",21.6148163400359,4.50073639440152,0.608676158975426,7.39430373283805,1.42151147606981e-13,3.15553845222215e-12,4.50073639440152
"ENSG00000143333.7",1554.38459916311,3.7923764942763,0.0863214567352101,43.9331846068048,0,0,3.7923764942763
"ENSG00000130023.16",17.2950112241089,3.75341570496017,1.46248502098301,2.56646437475121,0.0102741178512565,0.0375813015238414,3.75341570496017
"ENSG00000101187.16",2344.01560468305,3.58146349322844,0.0560826774274913,63.8604228169896,0,0,3.58146349322844
"ENSG00000276317.1",27.9373002064852,3.47971869306068,0.428553420447193,8.1196847978243,4.67395986563627e-16,1.27423830836909e-14,3.47971869306068
"ENSG00000200879.1",16.5204798788228,3.45135686341454,0.575515717255582,5.99698107268514,2.0101947969209e-09,2.87490809972754e-08,3.45135686341454
"ENSG00000277496.1",99.1720688966911,3.44564870965922,0.246920761451069,13.9544714239917,2.95484241098707e-44,3.03271119922956e-42,3.44564870965922
"ENSG00000258092.1",11.5061599935285,3.4077088124305,0.681413134549082,5.00094383223992,5.70503328141826e-07,5.76383443510051e-06,3.4077088124305
"ENSG00000120738.8",1481.08971088277,3.36129646994977,0.258219902713564,13.0171858738494,9.77058023307674e-39,8.19601364936168e-37,3.36129646994977
"ENSG00000153721.19",120.41522486155,3.32893268869711,0.20976405017509,15.8698913656484,1.02417999401531e-56,1.3852629872542e-54,3.32893268869711
"ENSG00000064300.9",172.208968362794,3.29368120546897,0.179708654076385,18.3278942374639,4.95728257176846e-75,9.82893935366091e-73,3.29368120546897
"ENSG00000108551.5",200.488314995593,2.94661947461045,0.194300625275576,15.1652598669267,6.0060720408592e-52,7.22716861854561e-50,2.94661947461045
"ENSG00000259820.1",1067.03045667447,2.91307637769324,0.0713544267214777,40.8254471592077,0,0,2.91307637769324
"ENSG00000173262.12",51.2105169071107,2.87687749928123,0.291622267631054,9.86508171221312,5.89864020577587e-23,2.65941794083663e-21,2.87687749928123
"ENSG00000161010.15",23.1065031481453,2.8410844371573,0.533348523485398,5.32688160190451,9.99132441024245e-08,1.14539177601781e-06,2.8410844371573
"ENSG00000215417.13",123.571269954855,2.74949979138791,0.197158836795851,13.94560769414,3.34585987900469e-44,3.41395106250725e-42,2.74949979138791
"ENSG00000122877.16",39.163907708344,2.68782328397692,0.426861642501863,6.2967083859384,3.04032468951422e-10,4.84895659804791e-09,2.68782328397692
"ENSG00000125148.7",22816.5769258248,2.5428248535198,0.0791577925126938,32.1234937559941,2.07188688620632e-226,1.33889934779733e-223,2.5428248535198
"ENSG00000122863.6",28.7969173209076,2.48017207292779,0.392794043971679,6.31417943064995,2.71598676656699e-10,4.36358536860598e-09,2.48017207292779
