"logFC","logCPM","F","PValue","Gene","padj","abs_logFC"
9.84388157048419,-0.344236073418013,357.73948969388,5.56219589047796e-13,"ENSG00000169688.11",5.74764020870788e-11,9.84388157048419
8.17254758000498,3.0742145072138,393.696283401284,2.75833942655231e-14,"ENSG00000173110.8",3.82789088481701e-12,8.17254758000498
6.24384461020476,8.16055127689441,12219.7825522544,1.79228006110309e-28,"ENSG00000187193.9",1.11535373954956e-24,6.24384461020476
5.97771057355501,2.18211230642784,1828.09828630038,1.46456698185304e-20,"ENSG00000125144.14",1.37993042679648e-17,5.97771057355501
5.74537928881831,6.8061744538976,12166.580636023,1.86909910549026e-28,"ENSG00000198417.7",1.11535373954956e-24,5.74537928881831
5.69375432521656,1.18539432069697,806.28342746158,3.45139318691024e-17,"ENSG00000232803.1",1.34319219200146e-14,5.69375432521656
5.39933135578527,-0.0556509073605827,329.302378639775,1.41784679057767e-13,"ENSG00000233929.1",1.68094657251135e-11,5.39933135578527
5.02078016481356,-1.19443585369553,133.799054139079,4.07122821164699e-10,"ENSG00000180720.7",1.66399834349097e-08,5.02078016481356
5.00112533412382,3.34381811433436,2579.43659899569,5.46343042341666e-22,"ENSG00000141622.14",8.8914846763641e-19,5.00112533412382
4.98042277750921,8.72124400834177,16995.9344464307,7.49794357617009e-30,"ENSG00000170385.10",1.34228185900597e-25,4.98042277750921
4.8906809871286,0.226773950914942,395.736431998581,2.63016846805193e-14,"ENSG00000232445.2",3.6785371808645e-12,4.8906809871286
4.70230708846682,-2.3600490496679,17.1846272500519,0.000535851201757912,"ENSG00000147813.16",0.00279512304796943,4.70230708846682
4.66911167843939,-2.53634862151274,50.3553193758226,8.74999834545692e-07,"ENSG00000253633.2",1.20959436587158e-05,4.66911167843939
4.62146377944391,5.21060583332668,1348.69154955389,2.6506125134805e-19,"ENSG00000100292.18",1.58170884054426e-16,4.62146377944391
4.44070124651933,-1.16498021748249,148.411610733457,1.68206389942666e-10,"ENSG00000102891.4",7.79893683996968e-09,4.44070124651933
4.22105331387866,-2.55557127976555,41.523012065343,3.31471459157737e-06,"ENSG00000286380.1",3.78927334728085e-05,4.22105331387866
4.13286986091242,-2.31143850978492,55.6671090810287,4.2588772950612e-07,"ENSG00000116741.8",6.65872675425202e-06,4.13286986091242
3.79876042340628,4.95999104687401,2214.74188764424,2.34596118114298e-21,"ENSG00000143333.7",2.99981407605869e-18,3.79876042340628
3.59506357982218,-1.4106715626322,8.70120626916631,0.00814115885419472,"ENSG00000130023.16",0.0269827945158402,3.59506357982218
3.59051029053089,5.54730384726466,6071.29364408689,1.49067118603364e-25,"ENSG00000101187.16",6.67149889309355e-22,3.59051029053089
3.46064482715459,-0.796051759388116,159.291266935637,9.14753780634587e-11,"ENSG00000276317.1",4.69224131258463e-09,3.46064482715459
3.45153698849125,0.957293659277208,267.055174566056,9.48686959546559e-13,"ENSG00000277496.1",9.03372018606516e-11,3.45153698849125
3.40547059873284,-1.49863256773616,84.0002584064205,1.86260281922658e-08,"ENSG00000200879.1",4.45350461193529e-07,3.40547059873284
3.36132377268347,4.88112015574393,338.700187189724,1.09655190146164e-13,"ENSG00000120738.8",1.33540626802491e-11,3.36132377268347
3.35411923934876,-1.94495008274084,58.6793126129325,2.89646863129844e-07,"ENSG00000258092.1",4.79726528811045e-06,3.35411923934876
3.33225909570015,1.23845854059233,492.638837645856,3.46936107680691e-15,"ENSG00000153721.19",6.97848337044914e-13,3.33225909570015
3.32710642866292,-0.281719676140434,14.3422997808419,0.00122085674416534,"ENSG00000023228.14",0.00555278898222763,3.32710642866292
3.2977608513056,1.76765181097972,621.939598979082,3.9493518851369e-16,"ENSG00000064300.9",1.12224281663049e-13,3.2977608513056
3.10706300533212,-2.21803301586967,58.2197850436412,3.06887827661579e-07,"ENSG00000225217.1",5.02185181974186e-06,3.10706300533212
2.94758093308945,2.0072633924375,293.294711982931,4.06545449766922e-13,"ENSG00000108551.5",4.35806984534577e-11,2.94758093308945
2.92181292869175,4.41371907002371,3125.4339653254,8.69725605596933e-23,"ENSG00000259820.1",1.94622847392454e-19,2.92181292869175
2.87819006361595,0.0360182059630738,210.513723127879,7.96113285585154e-12,"ENSG00000173262.12",5.64746264614873e-10,2.87819006361595
2.8200880731754,-1.06042601981165,33.8993832001895,1.24185420824428e-05,"ENSG00000161010.15",0.000117255664746778,2.8200880731754
2.79981930901828,-1.22655484079144,8.25949515608379,0.00962607821734233,"ENSG00000105856.14",0.0310553346993805,2.79981930901828
